Jaz sem Norm Spellman. Skupaj sva bila na avatar treningu.; Norm Spellman. Skupaj sva bila na avatarskem urjenju.
Tukaj je soba za povezavo, tukaj se priključiš na avatarja...; To je soba z linki.
Z Normom bova upravljala ta daljinsko vodena telesa, avatarje.; Z Normom bova upravljala telesa, imenovana avatarji.
Vzgojili so jih iz človeške DNK pomešane z DNK domorodcev.; Vzgajajo jih iz kombinacije človeške in domorodne DNK.
Ta je tvoj.; Tamle je tvoj.
Podoben je bratu.; Podoben mu je.
Podoben je tebi.; Tebi je podoben.
Zdaj je to tvoj avatar, Jake.; To je zdaj tvoj avatar, Jake.
Koncept je tak, da je vsakemu upravljavcu prirejen njegov avatar.; Vsak upravljavec dobi svojega avatarja, da sta njuna živčna sistema usklajena.
Ali nekaj podobnega...; Ali nekaj takega.
Delo so mi ponudili, ker se lahko povežem s Tommyjevim avatarjem.; To delo sem dobil, ker se lahko povežem s Tommyjevim.
Je prav tako?; Je to res?
Ja, v navado nam je prešlo, da vse dokumentiramo.; Ja, dokumentirati moramo, kaj vidimo in čutimo.
Ukvarjam se z znanostjo.; Skratka, tu sem in ukvarjam se z znanostjo.
To pa zato, ker ima raje rastline kot ljudi.; Ker ima rastline raje kot ljudi.
Študiral sem pet let, ampak veliko še se moram naučiti.; Pet let se že učim, a se moram še veliko.
To je navadno sranje.; To ni prav.
Nobene pravice nima, da bi vtikal nos v moj oddelek.; Naj se ne vtika v moj oddelek.
Si videl tole? -Ja, gospod.; Ste videli to? –Da, gospod.
Izgledaj kot oni, govori kot oni, pa ti bodo začeli zaupati.; Če bomo izgledali in govorili kot oni, nam bodo zaupali.
To se dogaja, če na njih uporabljaš avtomatske puške.; To se zgodi, če proti njim uporabiš strojnice.
Prav, pridi sem.; Ja. Pridi sem.
To je edini vzrok. To plačuje celotno zabavo.; Samo zato. To plačuje za vse.
Zato uporabi, kar imaš in mi prinesi nek rezultat.; Uporabi, kar imaš, in pokaži rezultate.
Nikar, bom že sam.; Ne, bom sam.
Torej si mislil, da boš kar šel sem, v najbolj sovražno okolje, kar jih človek pozna brez vsakega treninga in poskusil, kako bo šlo?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?
Kaj si imel v glavi?; Kaj ti je šlo po glavi?
Morda sem imel dovolj zdravnikov, ki so mi govorili, česa vse ne zmorem.; Sit sem bil zdravnikov, ki so mi govorili, česa ne morem.
Glavo dol.; Glavo dol!
Tebi to ne bi smelo delati težav.; To ti najbrž ne bo težko.
Fazna uskladitev 99 procentov, povezava je stabilna.; Ujemanje 99 %. Link je stabilen.
Refleks zenice je v redu.; Zenični refleks je dober.
Občutiš vrtoglavico ali slabost?; Čutiš kakšno odrevenelost ali bolečino?
Občutiš kako odrevenelost ali bolečino?; Čutiš kakšno odrevenelost ali bolečino?
Opraviti moramo še nekaj testov premikanja in refleksov.; Še nekaj testov motorike moramo opraviti.
Jake, hočem, da sedeš. -Spravita ga nazaj na ležaj.; Jake, takoj sedi. –Spravita ga nazaj na voziček.
Jake, nisi še navajen svojega avatarskega telesa, to je nevarno.; Nisi vajen svojega avatarja.
To je krasno. -Daj no, uspavali te bodo.; Jake, poslušaj me. –Daj no. Uspavali te bodo.
Je vse v redu? -Dobro sem.; Si v redu? –Ja.
o je zato, ker nismo edini, ki letamo naokrog.; Ker nismo edini, ki letijo tam okrog.
Mislil sem, da ne boš nikoli rekla.; Upal sem, da boš to rekel.
Hoteli ste me videti, polkovnik?; Ste me iskali, polkovnik?
Če oslabiš te bo Pandora ubila brez vsakega opozorila.; In če oslabiš, te Pandora brez opozorila ubije.
Ampak ne kot to tukaj.; Ampak ne tako kot tu.
Nekaj let pred teboj, morda več kot samo nekaj let.; Nekaj let pred tabo. Ali pa več.
Vsak dan me opominja, kaj me pričakuje zunaj.; Opominja me na to, kaj je tam zunaj.
Tak marinec bi mi lahko priskrbel podatke s terena, ki jih potrebujem.; Tak marinec bi lahko pridobil informacije na terenu.
Lahko to narediš zame, sinko?; Boš naredil to zame?
Seveda, gospod.; Zveni dobro, gospod.
Potem je v redu.; V redu.
Sinko, jaz poskrbim za svoje.; Jaz poskrbim za svoje ljudi.
Priskrbi mi, kar potrebujem, pa bom poskrbel, da dobiš nazaj svoje noge, ko boš šel domov.; Če se boš izkazal, ti bom priskrbel noge.
Resnične noge.; Prave noge.
To je slišati krasno, gospod.; Zveni dobro, gospod.
Ugasni ga, nekaj časa bomo tukaj.; Ugasni motorje. Nekaj časa bomo ostali.
Glede na hitrost reakcije je verjetno električno.; Po hitrosti sodeč je električno.
Ne streljaj, samo razjezil ga boš.; Ne streljaj. Ne streljaj! Razdražil ga boš.
Je že jezen.; Je že razdražen.
Kdo je zloben? Tako je prav.; Kdo je nevaren? Tako je.
Tako je prav, beži nazaj k mami.; Tako je. Steci nazaj k mamici.
Nimam časa celo prekleto noč.; Nimam časa vso noč.
Vem, da me verjetno ne razumeš.; Saj ne misliš resno.
To je res naredilo vtis.; To je bilo enkratno.
Z menoj bi bilo konec, če ne bi prišla zraven.; Če ne bi prišla, bi bilo po meni.
Hotel sem se ti samo zahvaliti, da si pobila te stvore...; Samo hvala bi ti rekel, ker si jih pobila.
Za to se ne zahvaljuj.; Za to ne rečeš hvala.
Samo zelo žalostno.; To je žalostno. Samo zelo žalostno.
Prav, žal mi je.; V redu. Žal mi je.
Karkoli sem že naredil, žal mi je.; Karkoli sem že naredil, mi je žal.
Za vse to si ti kriv, ne bi jim bilo treba umreti.; Ti si kriv. Ne bi jim bilo treba umreti.
Jaz sem kriv? Oni so napadli mene, kako to, da sem zdaj jaz zlobnež?; Jaz sem kriv? Zakaj? Oni so napadli.
Si kot majhen otrok, tako glasen, ne veš, kaj bi naredil.; Kot otrok si. Hrup delaš, ne veš, kaj bi.
Če imaš tako rada svoje majhne gozdne prijateljčke, zakaj jih nisi potem pustila, da bi me ubili?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?
Če sem kot otrok bi me lahko morda učila.; Če sem kot otrok, bi me morala podučiti.
Potrebujem tvojo pomoč.; Vendar potrebujem pomoč.
Kaj je to?; Kaj je bilo to?
Tsahik se mora odločiti.; Tsahik naj odloči.
Ta stvor... zakaj si ga pripeljala sem?; To bitje … Zakaj si ga pripeljala sem?
Hotela sem ga ubiti, potem pa sem videla Eywin znak.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.
Rekel sem, da ne sme sem noben nočni popotnik.; Rekel sem, da sanjehodci ne smejo sem.
Nos se mi obrača od njegovega smradu.; Poln nos njegovega vonja imam.
Moj oče se odloča, če te naj ubije ali ne.; Oče se odloča, ali naj te ubije.
Umakni se!; Poberi se!
Poskusili smo učiti ostale ljudi z nebes.; Ljudi z neba smo poskusili učiti.
Težko je napolniti skodelico, ki je že polna.; Težko je napolniti čašo, ki je že polna.
Vprašaj dr. Augustine, jaz nisem znanstvenik.; Vprašajte dr. Augustinovo. Nisem znanstvenik.
Odločeno je.; V redu je.
Moja hčerka te bo učila o našem življenju.; Odločeno je. Moja hči te bo učila naših navad.
Hočejo me proučevati, moram se naučiti, da bom eden izmed njih.; Preučevali me bodo. Postal bom eden od njih.
Poskusili smo jim dati medicino, izobrazbo, ceste, ampak ne, njim je všeč blato.; Hoteli smo jim dati zdravila, izobrazbo, ceste … Ampak ne. Raje imajo blato.
Zato mi najdi korenček, ki jih bo spravil proč.; Najdi korenček, ki jih bo zvabil stran.
Tri mesece časa imaš, potem pridejo tja buldožerji.; Tri mesece imaš. Potem pridejo buldožerji.
Všeč mi je ta fant.; Všeč mi je.
Prav, poglejmo še enkrat.; Poskusimo še enkrat.
Kdo pa gre na zmenek s poglavarjevo hčerko?; Kdo ima zmenek s poglavarjevo hčerko?
Gremo, v vasi zgodaj vstajajo.; Pojdimo, vas se zgodaj prebudi.
Ne naredi česa izjemno neumnega.; Ne stori ničesar izjemno neumnega.
Občuti jo.; Začuti jo.
Zdaj ji povej, naj gre naprej.; Za zdaj ji povej, kam naj gre.
Če boste hoteli to zadevo napasti, ne bo enostavno.; Če jih boste hoteli napasti, ne bo lahko.
Kaj nam še lahko poveš o strukturi?; Kaj še lahko poveš o zgradbi?
Domnevam, da je ta drug obroč nosilni.; Mislim, da je drugi obroč nosilen.
Ne bom dovolila, da Selfridge in Quaritch vodita celotno zadevo.; Ne dovolim, da se Selfridge in Quaritch vmešavata.
V planinah Aleluja?; V gorovju Aleluja?
Legendarne lebdeče planine Pandore, nisi še slišal za njih?; Legendarne plavajoče gore. Si slišal zanje?
Ja, poglej moje naprave.; Poglej moje instrumente.
Hvala, da ste leteli z družbo Pandora.; Hvala, ker ste leteli z Air Pandoro.
Res moram to narediti zdaj? Potrebujem malo počitka.; Moram zdaj? Res se moram naspati.
Ne, zdaj, ko še je sveže.; Zdaj, dokler je sveže.
Ugotovil sem, da je kot razstavljanje orožja. Vse je stvar ponavljanja.; Jezik je naporen, ampak podobno je razstavljanju orožja. Eno samo ponavljanje.
To ne pomeni samo, da te vidim pred seboj, ampak, da vidim v tebe...;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."
Vedno govori o pretoku energije, o živalskih duhovih.; Kar naprej govori o pretoku energije in živalskih duhovih.
Tukaj ne gre samo za koordinacijo med očmi in rokami.; Ne gre samo za koordinacijo oči in rok.
Poskusi videti gozd skozi njene oči.; Poskusi videti gozd z njenimi očmi.
Ob Neytiri se lahko samo hitro naučiš ali pa umreš.; Z Neytiri se moraš hitro učiti, drugače umreš.
Prvič, odkar so zaprli njeno šolo.; Prvič, odkar so njeno šolo zaprli.
Poskušam razumeti to globoko povezavo, ki jo imajo ljudje z gozdom.; Poskušam dojeti njihovo globoko vez z gozdom.
Govori o pretoku energije.; Govori o mreži energije, ki se pretaka skozi vsa živa bitja.
Pravi, da je vsa energija samo sposojena.; Pravi, da je energija samo sposojena in da jo moraš nekoč vrniti.
Vidim te, brat, in se ti zahvaljujem.; Vidim te, brat, in zahvaljujem se ti.
Kaj pa zdaj?; Pa zdaj?
Kako bom vedel, da je tudi on izbral mene?; Kako bom vedel, da me je izbral?
Poskusil te bo ubiti.; Ubiti te bo hotel.
Ne boj se, bojevnik!; Ne boj se, bojevnik.
Prvi polet zapečati zvezo, zdaj ne smeš čakati.; Prvi polet zapečati vez. Ne smeš čakati.
Zavij levo.; Tako ja. Nagni se na levo.
Morda res nisem bil dober s konji, ampak za to sem bil rojen.; Konji mi ne ležijo preveč, za to pa sem rojen.
Drevo duš.; Drevo glasov.
To moti moje naprave.; To moti moje instrumente.
Tam spodaj se dogaja nekaj biološko izjemno zanimivega.; Tam se dogaja nekaj biološko zelo zanimivega.
Umrla bi za kak vzorec.; Vse bi dala za nekaj vzorcev.
Edini problem je, da nisem edini.; Edina težava je, da nisi edini.
Za menoj!; Za mano!
Imenujemo ga veliki leonopteryx.; Naši mu rečejo veliki leonopteriks.
Ded mojega deda je bil Toruk Makto.; Moj prapraded je bil toruk macto.
Na tem je jahal?; To je jezdil?
To se je zgodilo samo petkrat vse od časov prvih pesmi.; V času od Prve pesmi se je zgodilo samo petkrat.
Združil je klane v času velikega žalovanja.; V času velike žalosti je združil klane.
Zdaj vse izgleda obrnjeno.; Nato pa se je vse spremenilo.
Ne morem verjeti, da so minili samo še trije meseci.; Težko je verjeti, da so minili samo trije meseci.
Sploh se ne spomnim več vsega iz svojega življenja.; Starega življenja se skoraj ne spomnim več.
Ne vem več, kdo sploh sem.; Ne vem več, kdo sem.
Saj se nisi izgubil v gozdovih, ali ne?; Si se izgubil v gozdu?
Tvoje zadnje poročilo je bilo pred več kot dvema tednoma.; Že več kot dva tedna nisi poročal.
Začel sem že dvomiti, da si dal odpoved.; Začel sem dvomiti o tvoji odločnosti.
Čas je, da končamo nalogo. -Tega ne morem narediti.; Mislim, da je čas, da opravimo nalogo.
Saj si že.; Saj ti je že.
Dal si mi dobre in uporabne podatke.; Dal si mi uporabne podatke.
Zdaj je čas, da se vrneš.; Zdaj pa je čas, da se vrneš.
Končati moram s tem.; To moram končati.
Če jo opravim bom eden izmed njih.; Če to storim, bom eden od njih.
Zaupali mi bodo.; In zaupali mi bodo.
Lahko se bom pogajal o pogojih za njihovo premestitev.; Lahko se bom dogovoril o selitvi.
Na'vi pravijo, da se vsak rodi dvakrat.; Na'vi pravijo, da se človek rodi dvakrat.
Tukaj je kraj, kjer se poslušajo molitve.; Tu je kraj, kjer so molitve slišane.
In včasih so tudi uslišane.; In včasih uslišane.
Lahko si tudi izbereš ženo.; In lahko si izbereš žensko.
Ampak ta ženska mora tudi izbrati mene.; Ampak tudi ta ženska mora izbrati mene.
Zdaj sem s teboj, Jake.; Zdaj sem s tabo, Jake.
Poročena sva za vse življenje.; Združena sva za vse življenje.
Ne pozabi na fazno integracija, srednji gumb.; Ne pozabi fazne integracije.
Kdaj si se zadnjič stuširal?; Kdaj si se nazadnje oprhal?
Vidiš, umaknil se je.; Tako. Umaknil se je.
Tukaj nimaš pravice govoriti!; Tu nimaš pravice govoriti.
Udarili jih bomo naravnost v srce!; Udarili jih bomo v srce.
Pa tudi tvoj sovražnik nisem!; Nisem tvoj sovražnik.
Sovražniki so tam zunaj! In zelo močni so!; Sovražnik je tam zunaj in zelo močan je.
Pravico imam govoriti.; In pravico imam govoriti.
Jake! Kaj za vraga se dogaja?; Jake! Kaj se dogaja?
Našel si domačinko in pozabil, za katero ekipo igraš?; Kako torej, si našel domačinko in pozabil, za katero ekipo igraš?
Praviš, da bi rad obdržal svoje ljudi žive?; Bi radi ohranili svoje ljudi žive?
In kaj natančno je to?; In kaj je to?
Zaenkrat za gotovo vemo, da obstaja neke vrste elektro-kemična komunikacija med koreninami dreves.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.
Kaj za vraga ste vi ljudje tam zunaj kadili?; Kaj ste pa kadili tam zunaj?
Bogastvo tega sveta ni v zemlji, pač pa vsepovsod okrog nas.; Bogastvo tega sveta ni v tleh, ampak vse okrog nas.
Na'vi se tega zavedajo in borili se bodo, da to obranijo.; Na'vi to vedo, zato ga branijo.
Če hočete ta svet deliti z njimi jih morate razumeti.; Če hočete deliti ta svet z njimi, jih morate razumeti.
Nikoli se ne bodo odrekli domu.; Ne bodo se odpovedali svojemu domu.
Nimamo ničesar, kar bi oni hoteli.; Nič takega nimamo, kar bi jih mikalo.
Nikoli ne bodo zapustili domovinskega drevesa.; Nikoli ne bodo zapustili Domačega drevesa.
Opravil bom z kar najmanj žrtvami med domačini.; Opravil bom s čim manj žrtvami med domorodci.
Najprej jih bom izgnal s plinom.; Najprej jih bom pregnal s plinom.
Tako to poteka.; Tako se to dela.
Ko ljudje sedijo na tem, kar hočeš imeti, jih narediš za sovražnike, tako opravičiš to, kar si prisvojiš.; Če nekdo sedi na nečem, kar hočeš, ga narediš za sovražnika. In potem mu imaš pravico tisto vzeti.
Umakni se!; Poberi se!
To so navadni divjaki, ki živijo na drevesu.; To so ušivi divjaki, ki živijo v drevesu.
Če nočeš svojega dekleta tam notri ko padejo sekire jih prepričaj v umik. V eni uri.; Če nočeš, da je tvoja punca tam, ko bomo napadli, naj se izselijo. Ena ura.
Eytukan, nekaj vam moram povedati.; Eytukan, nekaj bi rad povedal.
Veliko zlo prihaja nad nas...; Veliko zlo nam grozi.
Morate oditi, drugače boste vsi umrli.; Oditi morate, drugače boste umrli.
Si prepričan v to?; Si prepričan?
Vedel si, da se bo to zgodilo?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
Najprej sem samo poslušal ukaze.; Sprva sem samo ubogal ukaz.
Potem pa se je vse spremenilo.; Nato pa se je vse spremenilo.
Tako se znebiš ščurkov.; Tako se prežene ščurke.
Vse enote, vključite rakete.; Vse enote, vklopite izstrelke.
Podrite ga.; Odpeljite ga.
Kaj za vraga delaš?; Kaj delaš?
Nikoli se ne vračaj!; Nikoli se ne vrni!
Bil sem bojevnik, ki je sanjal, da bo prinesel mir.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.
A prej ali pozneje, na koncu se vedno zbudiš.; Toda prej ali slej se moraš zbuditi.
Kako kaj gre, dolgo se že nisva videla.; Kaj se dogaja? Dolgo se nisva videla.
Veš, kaj je to. Na tla.; Veš, kaj to pomeni. Na tla.
Trudy, zaženi letalo.; Trudy, vžgi ladjo. Gremo!
Grace so zadeli. -Kaj?; Grace je ranjena. –Kaj?
Poiskal ti bom pomoč, Grace.; Pomoč ti bom poiskal.
Zakaj bi nam hoteli pomagati?; Zakaj bi nam pomagali?
Narod pravi, da bo Eywa poskrbela za nas.; Ljudstvo pravi, da bo Eywa pomagala.
Ampak brez doma in upanja so lahko šli samo na en kraj.; Ko so ostali brez doma in upanja, so se lahko zatekli le na en kraj.
Potreboval sem njihovo pomoč in oni so potrebovali mojo.; Potreboval sem njihovo pomoč, oni pa mojo.
Včasih se nam celotno življenje obrne v eni sami nori potezi.; Včasih se življenje strne v eno samo noro potezo.
In ne bo ti všeč.; Ne bo ti všeč.
Zakaj bi torej kdaj pogledal gor?; Zakaj bi se torej oziral gor?
To je bila samo teorija.; Ampak to je bila le teorija.
In jaz tebe.; Tudi jaz tebe.
Tsu'Tey, sin Ateya, pred teboj stojim, da poskusim rešiti narod Omaticaya.; Tsu'tey, Ateyev sin, pred tabo stojim, pripravljen služiti ljudstvu Omaticaya.
Z njo sem, Jake.; Pri njej sem, Jake.
Je delovalo?; Je uspelo?
Njene rane so bile prehude.; Rane so bile prehude. Premalo časa je bilo.
Zdaj je z Eywo.; Zdaj je pri Eywi.
S tvojim dovoljenjem bi zdaj spregovoril.; Če dovoliš, bi rad nekaj povedal.
Bilo bi mi v čast, če boš prevajal.; V čast mi bo, če boš prevajal.
Ljudje iz nebes so nam poslali sporočilo, da si lahko vzamejo vse, kar si želijo.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.
Ampak mi bomo poslali sporočilo njim.; Tudi mi bomo njim poslali sporočilo.
Poletite naokrog tako hitro, kot vas bo veter lahko nesel.; Pojezdite hitro, kolikor vas veter nese.
Povejte jim, da jih kliče Turok Makto.; Recite jim, da jih kliče Toruk Macto.
Moji bratje, sestre, pokazali bomo ljudem z nebes, da si ne morejo vzeti vsega, kar si želijo!; Ljudem z neba bomo pokazali, da ne morejo vzeti, kar hočejo, in da je to naša zemlja.
Ko jih je poklical Turok Makto so prišli.; Ko jih je Toruk Macto poklical, so prišli.
Orbitalni posnetki kažejo da se je število sovražnikov povečalo od nekaj sto do precej več kot dva tisoč v samo enem dnevu.; Orbitalne slike kažejo, da je njihovo število z nekaj sto v enem dnevu naraslo na več kot dva tisoč.
V enem tednu jih je lahko več kot dvajset tisoč.; V enem tednu jih je lahko 20.000.
Sovražniki verjamejo, da njihovo planinsko utrdbo varuje njihovo božanstvo.; Sovražniki verjamejo, da njihovo gorsko oporišče varuje njihovo … Njihovo božanstvo.
In ko jo uničimo, bomo v njihov spomin naredili tak krater, da se ne bodo približali na manj kot tisoč kilometrov temu mestu nikoli več.; Ko ga bomo uničili, bomo naredili tako veliko luknjo v njihovem kolektivnem spominu, da se temu kraju ne bodo več približali.
Quaritch je prevzel poveljstvo, podivjal je in ne bo se ustavil.; Quaritch je prevzel vodstvo. Nič ga ne bo ustavilo.
Kdaj? -Zjutraj ob šestih.; Kdaj? –Jutri ob 6.00.
Moram prekiniti.; Moram poskusiti.
Najebali smo.; Nasankali smo.
Upala sem na nek taktični načrt, ki ne vključuje mučeništva.; Upala sem na taktični plan, ki ne bo zahteval mučeništva.
Proti letalom se bomo borili z loki in puščicami.; Proti bojnim ladjam se bomo borili z loki in puščicami.
Več kot dva tisoč bojevnikov.; Več kot 2000 bojevnikov.
Streljali bodo lahko samo na to, kar vidijo.; Zanašati se bodo morali na vid.
Verjetno se zdaj pogovarjam samo z drevesom.; Verjetno se pogovarjam z drevesom.
Če je Grace s teboj, poglej v njene spomine.; Če je Grace s tabo, poglej v njene spomine.
Poglej svet s katerega prihajamo.; Poglej svet, od koder prihajamo.
Tam ni ničesar zelenega.; Tam ni zelenja.
Ubili so lastno mati.; Ubili so svojo mater.
Enako bodo naredili tukaj.; In tu bodo storili isto.
Še več ljudi bo prišlo iz nebes.; Še več ljudi z neba bo prišlo.
Prihajalo bodo kot dež, ki ga ni nikoli konec.; Prišli bodo kot dež, ki ga ni nikoli konec.
Razen, če jih zdaj ustavimo.; Razen če jih ustavimo.
Zaradi nečesa si me izbrala.; Za nekaj si me izbrala.
Uprl se bom in se boril.; Uprl in boril se bom.
Dobro veš, da se bom res.; Veš, da se bom.
Varuje samo ravnotežje življenja.; Ohranja samo ravnotežje življenja.
Govori vodja skupine, vstopamo v energetski vrtinec.; Tu vodja skupine. Vstopamo v Vrtinec.
Porinimo ga k rampi!; Spravi ga k rampi!
Škorpijoni, zasledujte jih in jih uničite.; Škorpijoni, zasledujte in uničite.
Jake, Jake, me slišiš?; Jake, me slišiš?
Čisto blizu so, tako veliko jih je.; Zelo blizu so. Veliko jih je.
Si slišala, Neytiri?; Me slišiš, Neytiri?
Umakni se, beži proč! To je ukaz!; Umakni se. Pojdi stran! To je ukaz!
Na moj znak. Dva, ena, zdaj.; Na moj znak. Dve, ena, zdaj.
Pridi k očku.; Pridita k očku.
Na nek način sem kar upal, da boš to rekel.; Upal sem, da boš to rekel.
Sully, kakšen je občutek ko izdaš lastno raso?; Hej, Sully, kako je, če izdaš lastno raso?
Misliš, da si eden izmed njih?; Misliš, da si eden od njih?
Tujci so odšli nazaj na svoj umirajoči svet.; Tujci so se vrnili na svoj umirajoči planet.
Vem, kaj je ta stvar.; Vem, kaj je to.
Pripadala je človeku, ki sem ga spoznal v bežno pomnjenem snu.; Pripadala je človeku, ki sem ga spoznal v bežno pomnjenih sanjah.
Popolnoma izoblikovana, docela razumljena ideja, ostane.; Popolnoma izoblikovana, popolnoma razumljiva ideja, ostane.
Nekje tu notri. -Da jo nekdo tebi podoben ukrade?; Nekje tu notri. -Da jo nekdo kot ti ne ukrade?
G. Saito, lahko izurimo vašo podzavest, da se obrani celo najbolj veščega izvlačitelja. -Kako to napravim?; G. Saito, lahko izurimo vašo podzavest, da se ubrani celo najbolj veščega izvlačitelja. -Kako to naredim?
Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.; Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.
Pa saj ni važno. Lahko izvlečem. Zaupaj mi.; Ni važno. Lahko izvlečem. Zaupaj mi.
Menila sem, da me morda pogrešaš.; Mislila sem, da me morda pogrešaš.
Kaj izvajaš? -Na svež zrak grem. Ne mrdaj, Mal.; Kaj počneš? -Na svež zrak grem. Ostani kjer si, Mal.
Da si me prišel okrast, ali, da pravzaprav spimo?; Da si me prišel oropati, ali, da pravzaprav spimo?
Saita skušam še malce zadržati v snu. Skoraj smo že opravili.; Saita skušam še malce zadržati v spanju. Skoraj smo že opravili.
Evo, pa smo tu.; No, pa smo tu.
Vprašanje je, čemu ste nam sploh dopustili?; Vprašanje je, zakaj ste nam sploh dopustili?
Nima veze. Niste opravili.; Ni pomembno. Niste opravili.
Zato me pustite na miru.; Zato me pustite pri miru.
Zgleda, da bom moral opraviti nekoliko preprosteje.; Izgleda, da bom moral opraviti nekoliko preprosteje.
Nisem vedel, da bo drgnil svoj frdamani fris obnjo. -Dovolj bo.; Nisem vedel, da bo drgnil svojo prekleto glavo ob njo. -Dovolj bo.
Ne bi rad videl kako zgleda brez nadzora. -Jaz... nimamo časa za tole. Izstopim v Kyotu.; Nočem videti kako izgleda brez nadzora. -Jaz... Nimamo časa. Izstopim v Kyotu.
Ja, halo? -Živjo, ati.; Ja, halo? -Živjo, očka.
Lej, povedal sem ti. Ni me, ker delam, ja?; Poglej, povedal sem ti. Ni me, ker delam, v redu?
Ati? -Ja, James?; Očka? -Ja, James?
Zadosti, otroka. Poslovita se.; Dovolj, otroka. Poslovita se.
Pridna bodita, pa ...; Pridna bodita, pa...
A si dobro? -Ja, v redu. Zakaj?; Si v redu? -Ja, v redu. Zakaj?
Blokada v sajah, pojavi se je Mal ...; Blokada v sajah, Mal se je pojavil...
Čedalje slabše je, kajne? -Ti opravičilo ni zadosti, Arthur?; Čedalje slabše je, kajne? -Ti opravičilo ni dovolj, Arthur?
Lej, vem kako si želiš domov.; Vem, kako si želiš domov.
To ni možno izvesti. -Pač, izvedljivo je.; To ni mogoče izvesti. -Pač, izvedljivo je.
Čemu gremo v Pariz?; Zakaj gremo v Pariz?
Menim, da utegnejo najti način, da se v tvojem primeru sprovede.; Menim, da utegnejo najti način, da se v tvojem primeru to spremeni.
